W,W,W,W,W,W,W,W,W
W,,,,,,,,W
W,,Summoning Circle,,,,,,W
W,,,,,,,,W
W,,,,,,,,W
W,,,,,,,,W
W,W,W,,,,W,W,W
,,W,,,,W,,
,,W,,,,W,,
,,W,,,,W,,
,,W,,,,W,,
W,W,W,,,,W,W,W
W,,,,,,,,W
W,,,,,,,,W
W,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
CL,WT,WT,WT,WT,,,WT,CR
,,,,WL,,,W,
,,,,WL,,,W,
,,,,WL,,,W,
,,,,WL,,,W,
CL,WT,WT,WT,WT,,,WT,CR
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,Spawn,,,W
WL,,,,,,,,W
CL,WT,WT,,,,WT,WT,CR
WL,,,,,,,,W
WL,,,,,,,,W
WL,,,,,,,,W
CL,WT,WT,WT,WT,WT,WT,WT,CR
